window_id,valid,validation_errors,speaker_match,event_count_precision,event_count_recall,event_count_f1,event_count_mae,event_attribution_accuracy
childes_adam0901_target_0000_0039,True,[],0.65,0.0,0.0,0.0,0.2,0.0
childes_adam0902_target_0000_0039,True,[],0.75,0.0,0.0,0.0,0.725,0.0
childes_adam0903_target_0000_0039,True,[],0.675,0.0,0.0,0.0,0.775,0.0
childes_adam0903_target_0005_0044,True,[],0.75,0.0,0.0,0.0,0.725,0.0
childes_adam0915_target_0048_0087,True,[],0.825,0.0,0.0,0.0,0.7,0.0
childes_adam0915_target_0059_0098,True,[],1.0,0.0,0.0,0.0,0.775,0.0
childes_adam0915_target_0062_0101,True,[],0.775,0.0,0.0,0.0,0.825,0.0
childes_adam0916_target_0000_0039,True,[],0.625,0.0,0.0,0.0,0.85,0.0
childes_adam0916_target_0003_0042,True,[],0.65,0.0,0.0,0.0,0.85,0.0
childes_adam0916_target_0018_0057,True,[],0.575,0.0,0.0,0.0,0.875,0.0
childes_adam0917_target_0000_0039,True,[],0.775,0.0,0.0,0.0,0.4,0.0
childes_adam0917_target_0009_0048,True,[],0.825,0.0,0.0,0.0,0.275,0.0
childes_adam0923_target_0000_0039,True,[],0.8,0.4666666666666667,0.4117647058823529,0.43749999999999994,0.3,0.5714285714285714
childes_adam0923_target_0013_0052,True,[],0.825,0.0,0.0,0.0,0.25,0.0
childes_alice3_target_0015_0054,True,[],0.8,0.0,0.0,0.0,0.525,0.0
childes_amy_0000_0039,True,[],1.0,0.3076923076923077,1.0,0.47058823529411764,0.225,1.0
childes_amy_0040_0079,True,[],0.625,0.5,0.5454545454545454,0.5217391304347826,0.275,0.5
childes_betty_0000_0039,True,[],1.0,0.3181818181818182,1.0,0.4827586206896552,0.375,1.0
childes_betty_0040_0079,True,[],0.7,0.18181818181818182,0.8,0.2962962962962963,0.425,1.0
childes_chuck_0000_0039,True,[],0.875,0.0,0.0,0.0,0.5,0.0
childes_chuck_0040_0079,True,[],0.55,0.0,0.0,0.0,0.475,0.0
childes_doug_0000_0039,True,[],1.0,0.3,0.8571428571428571,0.4444444444444444,0.375,1.0
childes_ed_0000_0039,True,[],0.675,0.0,0.0,0.0,0.35,0.0
childes_ed_0040_0079,True,[],0.675,0.0,0.0,0.0,0.2,0.0
childes_frank_0000_0039,True,[],0.55,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.075,1.0
childes_frank_0040_0079,True,[],0.675,0.0,0.0,0.0,0.15,0.0
childes_gloria_0000_0039,True,[],0.525,0.0,0.0,0.0,0.25,0.0
childes_gloria_0040_0079,True,[],0.65,0.6153846153846154,1.0,0.761904761904762,0.125,0.0
childes_hank_0000_0039,True,[],0.575,0.0,0.0,0.0,0.225,0.0
childes_hank_0040_0079,True,[],0.6,0.0,0.0,0.0,0.125,0.0
childes_ivy_0000_0039,True,[],0.6,0.8571428571428571,1.0,0.923076923076923,0.025,0.5
childes_ivy_0040_0079,True,[],1.0,0.0,0.0,0.0,0.15,0.0
childes_jane_0000_0039,True,[],0.55,0.0,0.0,0.0,0.2,0.0
childes_jane_0040_0079,True,[],0.6,0.0,0.0,0.0,0.05,0.0
childes_jim_0000_0039,True,[],0.625,0.0,0.0,0.0,0.225,0.0
childes_jim_0040_0079,True,[],1.0,0.0,0.0,0.0,0.15,0.0
childes_kathy_0000_0039,True,[],0.6,0.0,0.0,0.0,0.175,0.0
childes_kathy_0040_0079,True,[],0.7,0.0,0.0,0.0,0.225,0.0
childes_keith_0000_0039,True,[],0.55,0.0,0.0,0.0,0.15,0.0
childes_keith_0040_0079,True,[],0.65,0.8,0.6666666666666666,0.7272727272727272,0.025,1.0
childes_kent_0000_0039,True,[],0.575,0.0,0.0,0.0,0.25,0.0
childes_kent_0040_0079,True,[],0.55,0.0,0.0,0.0,0.4,0.0
childes_linda_0000_0039,True,[],0.55,0.7692307692307693,0.47619047619047616,0.588235294117647,0.3,0.8
childes_linda_0040_0079,True,[],0.6,0.0,0.0,0.0,0.575,0.0
childes_mandy_0000_0039,True,[],0.575,0.0,0.0,0.0,0.175,0.0
childes_mandy_0040_0079,True,[],1.0,0.0,0.0,0.0,0.2,0.0
childes_nan_0000_0039,True,[],0.6,0.4090909090909091,1.0,0.5806451612903226,0.325,0.7777777777777778
childes_nan_0040_0079,True,[],0.85,0.0,0.0,0.0,0.275,0.0
childes_normarjo_target_0098_0137,True,[],0.875,0.5,1.0,0.6666666666666666,0.025,1.0
childes_normarjo_target_0145_0184,True,[],0.775,0.3333333333333333,1.0,0.5,0.05,1.0
childes_normelis_target_0000_0039,True,[],0.8,1.0,0.2,0.33333333333333337,0.2,1.0
childes_normelis_target_0004_0043,True,[],0.8,1.0,0.45454545454545453,0.625,0.15,1.0
childes_normelis_target_0014_0053,True,[],0.875,0.6428571428571429,1.0,0.782608695652174,0.125,1.0
childes_normered_target_0000_0039,True,[],0.8,0.0,0.0,0.0,0.225,0.0
childes_normered_target_0097_0136,True,[],0.875,0.5,1.0,0.6666666666666666,0.025,1.0
childes_nortrevo_target_0012_0051,True,[],0.85,0.85,0.9444444444444444,0.8947368421052632,0.1,1.0
childes_nortrevo_target_0015_0054,True,[],1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1,1.0
childes_nortrevo_target_0095_0134,True,[],0.825,0.75,0.8571428571428571,0.7999999999999999,0.05,1.0
childes_olivia_0000_0039,True,[],1.0,0.3888888888888889,0.7,0.5,0.2,1.0
childes_olivia_0040_0079,True,[],1.0,0.0,0.0,0.0,0.375,0.0
childes_paula_0000_0039,True,[],0.675,0.0,0.0,0.0,0.15,0.0
childes_paula_0040_0079,True,[],1.0,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.025,1.0
childes_pete_0000_0039,True,[],0.7,0.0,0.0,0.0,0.05,0.0
childes_pete_0040_0079,True,[],0.65,0.0,0.0,0.0,0.2,0.0
childes_ruth_0000_0039,True,[],0.7,0.0,0.0,0.0,0.125,0.0
childes_ruth_0040_0079,True,[],0.55,0.0,0.0,0.0,0.25,0.0
childes_steve_0000_0039,True,[],0.525,0.6666666666666666,1.0,0.8,0.075,1.0
childes_steve_0040_0079,True,[],0.8,0.0,0.0,0.0,0.35,0.0
childes_sue_0000_0039,True,[],0.525,0.625,0.4166666666666667,0.5,0.25,0.8
childes_sue_0040_0079,True,[],0.575,0.25,0.5714285714285714,0.34782608695652173,0.375,1.0
childes_tom_0000_0039,True,[],0.65,0.0,0.0,0.0,0.35,0.0
childes_tom_0040_0079,True,[],0.6,0.0,0.0,0.0,0.225,0.0
childes_vicki_0000_0039,True,[],0.525,0.0,0.0,0.0,0.125,0.0
childes_wanda_0000_0039,True,[],0.675,0.0,0.0,0.0,0.2,0.0
childes_wanda_0040_0079,True,[],1.0,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.15,1.0
